date,pe
2022-04-25,24.59
2022-04-26,24.84
2022-04-27,24.64
2022-04-28,24.7
2022-04-29,24.46
2022-05-02,24.25
2022-05-04,23.69
2022-05-05,23.41
2022-05-06,22.88
2022-05-09,22.45
2022-05-10,21.75
2022-05-11,20.87
2022-05-12,20.55
2022-05-13,20.55
2022-05-16,20.6
2022-05-17,21.05
2022-05-18,21.11
2022-05-19,20.45
2022-05-20,20.86
2022-05-23,20.69
2022-05-24,20.24
2022-05-25,19.63
2022-05-26,19.71
2022-05-27,19.98
2022-05-30,20.35
2022-05-31,20.91
2022-06-01,21.12
2022-06-02,21.2
2022-06-03,21.06
2022-06-06,20.93
2022-06-07,20.81
2022-06-08,20.77
2022-06-09,20.78
2022-06-10,20.6
2022-06-13,19.87
2022-06-14,19.81
2022-06-15,19.92
2022-06-16,19.31
2022-06-17,19.15
2022-06-20,18.56
2022-06-21,19.13
2022-06-22,18.93
2022-06-23,19.15
2022-06-24,19.48
2022-06-27,19.79
2022-06-28,19.78
2022-06-29,19.67
2022-06-30,19.63
2022-07-01,19.68
2022-07-04,19.77
2022-07-05,19.82
2022-07-06,19.93
2022-07-07,20.19
2022-07-08,20.24
2022-07-11,20.41
2022-07-12,20.34
2022-07-13,20.38
2022-07-14,20.23
2022-07-15,20.31
2022-07-18,20.63
2022-07-19,20.79
2022-07-20,20.92
2022-07-21,21.11
2022-07-22,21.16
2022-07-25,20.51
2022-07-26,20.29
2022-07-27,20.18
2022-07-28,20.36
2022-07-29,20.58
2022-08-01,20.67
2022-08-02,20.38
2022-08-03,20.29
2022-08-04,20.25
2022-08-05,20.16
2022-08-08,20.35
2022-08-10,20.31
2022-08-11,19.81
2022-08-12,19.67
2022-08-16,19.03
2022-08-17,18.96
2022-08-18,19.01
2022-08-19,18.84
2022-08-22,18.67
2022-08-23,18.86
2022-08-24,19.02
2022-08-25,19.09
2022-08-26,19.22
2022-08-29,19.11
2022-08-30,19.35
2022-09-01,19.4
2022-09-02,19.45
2022-09-05,19.64
2022-09-06,19.7
